Serial Number,WF1661142
Sample ID,00003
Start Time,2023-02-27 22:16:47 UTC
Duration,0:00:58
Total Volume (l),1.28
Distance (m),171
Peak Pressure (psi),5.3
Avg Flow (l/min),1.3
Avg Rate (mL/m),15.9
Avg Speed (m/s),2.8


Date (UTC),Elapsed time (s),Volume (l),Pressure (psi),Flow (l/min),Rate (mL/m),Speed (m/s),Latitude,Longitude,Elevation (m),Accuracy (+/- m)
2023-02-27 22:16:47,0,0.00,0.04,0.00,0.00,10.62,45.741972,-122.617387,24.3,250.0
2023-02-27 22:16:49,2,0.00,1.42,0.08,0.14,9.70,45.741702,-122.617345,45.3,250.0
2023-02-27 22:16:51,4,0.02,3.22,0.47,1.00,7.80,45.741702,-122.617348,47.3,34.4
2023-02-27 22:16:53,6,0.06,5.30,0.95,2.03,7.80,45.741702,-122.617348,47.3,34.4
2023-02-27 22:16:55,8,0.12,-0.05,1.41,3.01,7.80,45.741702,-122.617348,47.3,34.4
2023-02-27 22:16:57,10,0.16,4.09,1.31,3.26,6.69,45.741630,-122.617299,41.4,34.4
2023-02-27 22:16:59,12,0.20,3.39,1.40,4.49,5.20,45.741578,-122.617311,38.0,34.4
2023-02-27 22:17:01,14,0.25,3.54,1.39,5.97,3.88,45.741530,-122.617320,34.8,33.8
2023-02-27 22:17:03,16,0.30,3.47,1.40,8.57,2.72,45.741582,-122.617347,33.2,33.8
2023-02-27 22:17:05,18,0.34,3.50,1.40,14.95,1.56,45.741615,-122.617356,31.8,33.8
2023-02-27 22:17:07,20,0.39,3.73,1.40,20.44,1.14,45.741622,-122.617385,31.6,33.8
2023-02-27 22:17:09,22,0.44,3.63,1.40,21.70,1.08,45.741643,-122.617399,31.6,33.8
2023-02-27 22:17:11,24,0.49,3.76,1.40,21.76,1.07,45.741713,-122.617440,32.6,33.1
2023-02-27 22:17:13,26,0.53,3.79,1.40,19.30,1.21,45.741714,-122.617495,34.3,33.1
2023-02-27 22:17:15,28,0.58,3.79,1.40,18.59,1.26,45.741762,-122.617503,35.4,33.1
2023-02-27 22:17:17,30,0.63,3.82,1.40,18.91,1.23,45.741752,-122.617503,34.8,33.1
2023-02-27 22:17:19,32,0.67,3.85,1.40,21.55,1.08,45.741774,-122.617501,32.8,33.1
2023-02-27 22:17:21,34,0.72,3.84,1.40,25.21,0.93,45.741773,-122.617489,31.0,32.5
2023-02-27 22:17:23,36,0.77,3.94,1.40,24.48,0.95,45.741804,-122.617481,30.6,32.5
2023-02-27 22:17:25,38,0.81,3.94,1.40,22.85,1.02,45.741834,-122.617492,30.3,32.5
2023-02-27 22:17:27,40,0.86,3.94,1.40,23.50,0.99,45.741821,-122.617480,30.7,32.5
2023-02-27 22:17:29,42,0.91,3.92,1.40,22.84,1.02,45.741780,-122.617456,30.3,32.5
2023-02-27 22:17:31,44,0.95,3.93,1.40,22.84,1.02,45.741780,-122.617456,30.3,250.0
2023-02-27 22:17:33,46,1.00,4.02,1.40,22.84,1.02,45.741780,-122.617456,30.3,250.0
2023-02-27 22:17:35,48,1.05,4.04,1.40,22.84,1.02,45.741780,-122.617456,30.3,250.0
2023-02-27 22:17:37,50,1.09,3.98,1.40,21.03,1.11,45.741611,-122.617383,29.7,250.0
2023-02-27 22:17:39,52,1.14,3.93,1.40,20.72,1.13,45.741536,-122.617368,29.8,250.0
2023-02-27 22:17:41,54,1.19,4.01,1.40,20.72,1.13,45.741536,-122.617368,29.8,19.7
2023-02-27 22:17:43,56,1.24,3.97,1.40,20.72,1.13,45.741536,-122.617368,29.8,19.7
2023-02-27 22:17:45,58,1.28,3.90,1.40,20.72,1.13,45.741536,-122.617368,29.8,19.7
